Airport,Country,IATA code
Ua Huka,French Polynesia,UAH
Ua Pou,French Polynesia,UAP
Ube,Japan,UBJ
Uberaba,Brazil,UBA
Uberlandia - Eduardo Gomes Airport,Brazil,UDI
Ubon Ratchathani - Muang Ubon Airport,Thailand,UBP
Udaipur - Dabok Airport,India,UDR
Uden - Volkel Airport,Netherlands,UDE
Udon Thani,Thailand,UTH
Ufa,Russia,UFA
Uherske Hradiste,Czech Republic,UHE
Uige,Angola,UGO
Ujung Pandang - Hasanudin Airport,Indonesia,UPG
Ukhta,Russia,UCT
Ukiah (CA),USA,UKI
Ulaanbaatar - Buyant Uhaa Airport,Mongolia,ULN
Ulan-Ude,Russia,UUD
Ulanhot,PR China,HLH
Ulei,Vanuatu,ULB
Ulsan,South Korea,USN
Ulundi,South Africa,ULD
Umea,Sweden,UME
Umiujaq,Canada,YUD
Umtata,South Africa,UTT
Unalakleet (AK),USA,UNK
Union Island,Saint Vincent and the Grenadines,UNI
Unst (Shetland Island) - Baltasound Airport,United Kingdom,UNT
Upala,Costa Rica,UPL
Upernavik - Upernavik Heliport,Greenland,JUV
Upington,South Africa,UTN
Upolu Point (HI),USA,UPP
Uranium City,Canada,YBE
Urgench,Uzbekistan,UGC
Uriman,Venezuela,URM
Urmiehm (Orumieh),Iran,OMH
Uruapan,Mexico,UPN
Urubupunga - Ernesto Pochler Airport,Brazil,URB
Uruguaiana - Ruben Berta Airport,Brazil,URG
Urumqi,"Xinjiang, PR China",URC
Uruzgan,Afghanistan,URZ
Ushuaia - Islas Malvinas Airport,Argentina,USH
Utapao (Pattaya),Thailand,UTP
Utica (NY) - Oneida County Airport,USA,UCA
Utila,Honduras,UII
Uummannaq,Greenland,UMD
Uzhgorod,Ukraine,UDJ
